hand	tableId	playerCount	heroPosition	villainPosition	openerPosition	foldedPositions	activePositions	maxLivePlayers	heroHole	villainHole	board	heroAction	villainAction	heroNet	modelId	archetype	streetsPlayed	heroActions	villainActions	outcome
138	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3cKs	5c5s	2c 9c 7d 5h Kh	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Call|Call|Fold|Fold|Call	tie
139	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kd5s	Jh9s	5c 7c 2d Jd Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Raise:2.50|Call|Fold|Fold	tie
140	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8dAh	8s9s	4c Jc Qc Ac 6s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Fold|Fold|Raise:2.50|Call|Raise:2.50|Fold	tie
141	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6dQd	3c4h	4d 9d 5s 9s Ks	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Fold|Call|Raise:2.50|Fold|Fold|Raise:2.50	tie
142	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3hKs	3d3s	5d 6d 7d 8h Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Call|Fold|Call|Raise:2.50	tie
143	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8dQh	7c4s	5c 6c Ac 3d Qs	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Fold|Call|Fold|Raise:2.50|Call	tie
144	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	TcQd	6h7s	2c 5c 8c 2d Kh	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Call|Fold|Call|Call	tie
145	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5d6h	TdQs	3c 8c Ad 3s Ts	Raise:2.50	Call	-6.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	2	Raise:2.50|Fold	Call|Raise:2.50|Call|Call|Fold|Call|Call|Call|Call|Call|Call|Call|Call|Check|Check|Check|Check|Check|Raise:2.50|Call	loss
146	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4h6h	JdTs	Tc 9d 5h Jh 6s	Raise:2.50	Fold	-6.0000	hall-bootstrap-uniform	Tag	2	Raise:2.50|Fold	Fold|Fold|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call	loss
147	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Tc4s	3c3d	Ac 4d 7d Ad 6s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Fold|Call|Fold|Fold|Call|Call	tie
148	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4d3h	3d7d	Qc Td Jd 6h Qs	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Fold|Call|Call|Raise:2.50|Fold|Fold	tie
149	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Tc3d	7c8s	4c 8d Th Ts Qs	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Raise:2.50|Raise:2.50|Call|Call|Call|Call	tie
150	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cJc	Ac2s	2c Qc Kd Ah Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Call|Raise:2.50|Call|Call	tie
151	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2c7s	3cQs	Tc 5d Qh 3s 8s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Fold|Call|Call|Fold|Call|Raise:2.50	tie
152	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Tc6d	3cTs	2c 3d Td Qh 5s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Call|Call|Call	tie
153	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	TdJs	4cQh	6c Tc 4h 7h Th	Call	Fold	-8.5000	hall-bootstrap-uniform	Tag	4	Call|Call|Call|Call	Fold|Fold|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call	loss
154	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4cTh	4dKd	Jc Qc Kh 3s As	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Call|Call|Call|Fold	tie
155	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2dJd	Tc6h	Jc 3d 4d 2h Jh	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Call|Raise:2.50|Call|Call	tie
156	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Qc3h	Kc8h	3c 5c 6c Jc 4s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Call|Raise:2.50|Fold|Fold	tie
157	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3cJd	QcAc	4c 7d Kd Ad Th	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Call|Call|Raise:2.50	tie
158	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Qd2h	Ad3h	3d 4s 6s 9s As	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Call|Call|Call|Raise:2.50|Fold	tie
159	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9c4s	5cJd	Jc 9d Kd 7h Kh	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Call|Call|Raise:2.50|Call	tie
160	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kd4h	JsAs	6c 8c 2d Qh 6s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Call|Raise:2.50|Raise:2.50|Fold|Call	tie
161	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kh6s	TcKc	Qc 2d Ad 4h Qh	Call	Call	-1.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	2	Call|Fold	Call|Call|Call|Call|Call|Fold|Fold|Check|Check|Check|Raise:2.50|Fold|Call|Call	loss
162	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cQh	7c2s	3c 8d 3h 8h Kh	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Raise:2.50|Call|Call|Fold	tie
163	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3h9h	2d9s	Qc 3d Td 7s Ts	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Raise:2.50|Raise:2.50|Call|Call	tie
164	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	ThKh	2hQh	6d 3h Ah 6s 7s	Raise:2.50	Fold	-11.0000	hall-bootstrap-uniform	Tag	4	Raise:2.50|Call|Call|Call|Fold	Fold|Fold|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call	loss
165	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4s8s	AcTd	2d 5d 6h Ah Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Raise:2.50|Call|Raise:2.50|Fold	tie
166	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4h2s	7dQh	6c Td Kd 3s 4s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Raise:2.50|Call|Call|Call	tie
167	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4cKc	4s5s	9c Tc Ad 7h Qs	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Raise:2.50|Fold|Fold|Fold|Call|Call	tie
168	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3cKs	8dKh	2d 5d Qd Qh Qs	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Call|Call|Call	tie
169	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3cTs	3hKh	6c 7c Kc 9d Qh	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Raise:2.50|Call|Fold|Fold|Raise:2.50|Call	tie
170	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	AcTd	8cJc	2d 3h 5h Ah As	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Call|Raise:2.50|Call|Call|Fold	tie
171	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jh3s	6s8s	4d 6d 7d 8d Qh	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Raise:2.50|Raise:2.50|Call|Call|Call|Call	tie
172	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8c3d	6dJh	9c 9d 5h Th 5s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Fold|Fold|Call|Fold|Call	tie
173	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8d6s	5d3s	Kd Ts Js Qs Ks	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Fold|Call|Call|Fold|Fold|Raise:2.50	tie
174	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Qd4h	9dKh	7c 9c Tc Ac 4d	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Raise:2.50|Raise:2.50|Call|Fold|Fold|Fold	tie
175	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ad8h	3h7h	5d 6d 7d 8d Qh	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Fold|Call|Fold|Fold|Raise:2.50	tie
176	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7cJd	2s4s	2d 4d Th 8s As	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Call|Fold|Call|Fold|Call	tie
177	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8hAh	9c5h	6c Tc 9d Th 9s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Fold|Call|Raise:2.50|Fold|Call|Raise:2.50	tie
178	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6c8h	Th2s	3c 4c 3d Jd 7s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Fold|Raise:2.50|Call|Call|Call	tie
179	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8cKh	KcTd	7c 3d Qh Ah 2s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Raise:2.50|Call|Call|Call|Call|Raise:2.50	tie
180	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2h5h	AdTh	6c 8c Qh 7s Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Fold|Fold|Call|Call|Call	tie
181	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kc7d	4cJh	8c 9c 3d Td 8h	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Raise:2.50|Call|Call|Call	tie
182	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5dJh	JdQd	6d 9d 3s 7s Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Call|Fold|Call|Raise:2.50|Call|Call	tie
183	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c7c	7dKs	6c Jc 9d 8h Ts	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Raise:2.50|Call|Call|Call|Fold|Fold	tie
184	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Qh5s	2c7d	5c Tc Kc 8d 5h	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Call|Raise:2.50|Call|Call	tie
185	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9cTd	5dAh	2d 2h 8h Qs Ks	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Call|Call|Fold|Fold|Raise:2.50	tie
186	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9c5h	3c6c	Qc 8d 4h Th As	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Raise:2.50|Call|Call|Raise:2.50|Call	tie
187	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	AcAh	2cKs	Tc 7d 6h 2s 3s	Raise:2.50	Call	-13.5000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	4	Raise:2.50|Call|Call|Call	Call|Call|Call|Raise:2.50|Fold|Call|Call|Call|Call|Call|Call|Call|Call|Check|Check|Check|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Fold|Check|Check|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Check|Check|Check|Check|Check|Raise:2.50|Call|Call|Call|Call|Fold	loss
188	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JdKs	Qc7d	6c Tc 9d Ad 7h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Raise:2.50|Call|Call	tie
189	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5cTs	Tc9s	Jc 4d 8d 8h 9h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Fold|Call|Call|Call|Call	tie
190	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5c8s	4c5h	7c 8d 6h 2s 5s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Fold|Fold|Fold|Raise:2.50|Call	tie
191	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7c8h	Td3h	2d 5d 9h 5s Qs	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Raise:2.50|Raise:2.50|Call	tie
192	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4d9s	JcTs	5d 3h Qh 3s 4s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Raise:2.50|Call|Call|Call|Raise:2.50	tie
193	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7cAh	7sAs	Jc Qc 6d Th 9s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Fold|Fold|Fold|Call|Call	tie
194	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4d6s	3d8d	Ac Jd 2h 5h 6h	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Fold|Fold|Raise:2.50|Raise:2.50|Call|Call	tie
195	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7h7s	2d8h	6d 2h Qh 5s Js	Raise:2.50	Fold	-11.0000	hall-bootstrap-uniform	Tag	4	Raise:2.50|Call|Call|Fold	Fold|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Call|Check|Check|Raise:2.50|Fold|Call|Call|Call|Call|Call|Check|Check|Check|Check|Raise:2.50|Call	loss
196	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	TsQs	2c7c	Td Kd 2h 3h Kh	Raise:2.50	Fold	-13.5000	hall-bootstrap-uniform	Tag	4	Raise:2.50|Call|Call|Call	Fold|Fold|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call	loss
197	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3d6d	Jd6h	Ad 3h Kh 3s 5s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Raise:2.50|Call|Call|Fold|Raise:2.50	tie
198	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	TcAc	Th5s	2d 6h Js Qs Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Call|Raise:2.50|Fold|Raise:2.50	tie
199	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9c7s	QdTs	6c Tc Jd Kd Qs	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Call|Call|Call	tie
200	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9h3s	6h4s	6c 7c 3h Th Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Fold|Fold|Call|Call|Call	tie
201	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	QhAs	4dQs	2c Jc 5h Th Jh	Raise:2.50	Call	-11.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	4	Raise:2.50|Call|Call|Call|Fold	Call|Call|Call|Call|Call|Call|Fold|Raise:2.50|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Fold|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call	loss
202	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c8h	Ac2d	6c Tc Jc 7d Ah	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Raise:2.50|Raise:2.50|Fold|Fold|Call	tie
203	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6h7s	4d2s	5c Ad Qh 9s Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Call|Call|Call|Call	tie
204	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Td6s	Jc6h	8d 9h Jh 8s Ts	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Fold|Call|Call|Call	tie
205	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2d9d	AcJs	3d 6d Td 7h Kh	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Raise:2.50|Fold|Raise:2.50|Call|Call|Fold	tie
206	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7cKh	TsQs	Jc 9d 4h 5h 5s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Call|Call|Fold|Fold|Call	tie
207	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6hAh	3d8h	Kc 6d 7d 8d 7s	Raise:2.50	Fold	-8.5000	hall-bootstrap-uniform	gto	3	Raise:2.50|Call|Fold	Fold|Call|Call|Raise:2.50|Call|Call|Fold|Fold|Call|Call|Call|Call|Call|Check|Check|Raise:2.50|Call|Call|Call|Fold|Check|Raise:2.50|Call|Call	loss
208	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4sQs	4hQh	6c Jd 9h Jh 7s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Call|Call|Fold	tie
209	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7cAs	4h8s	6c 9h Th Kh Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Fold|Fold|Fold|Call|Raise:2.50	tie
210	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7sAs	Jc5s	2c 6c 6d Jh Ts	Raise:2.50	Call	-6.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	2	Raise:2.50|Fold	Call|Fold|Fold|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call	loss
211	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c8s	TcQd	5c 8d Ad 7h 8h	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Call|Call|Raise:2.50|Call|Call	tie
212	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4h5h	2sJs	8c 8d Jd 6h 7s	Raise:2.50	Raise:2.50	-6.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	2	Raise:2.50|Fold	Raise:2.50|Call|Call|Fold|Fold|Call|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call	loss
