hand	decisionIndex	street	heroPosition	potBeforeBb	toCallBb	stackBb	candidates	chosenAction	apiAction
27	2	Preflop	BigBlind	21.000	15.000	197.000	Fold,Call,Raise:15.00,Raise:16.00	Raise:15.00	b3300
27	3	Flop	BigBlind	66.000	0.000	167.000	Check,Raise:33.00,Raise:49.50	Raise:49.50	b4950
28	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
28	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:9.00	b1800
28	3	Flop	Button	37.000	1.000	182.000	Fold,Call,Raise:1.00,Raise:28.00	Raise:28.00	b2900
28	4	Turn	Button	94.000	0.000	153.000	Check,Raise:47.00,Raise:70.50	Raise:47.00	b4700
28	5	River	Button	188.000	0.000	106.000	Check,Raise:94.00,Raise:106.00	Raise:94.00	b9400
29	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
29	2	Preflop	BigBlind	21.000	15.000	197.000	Fold,Call,Raise:15.00,Raise:16.00	Raise:15.00	b3300
29	3	Flop	BigBlind	66.000	0.000	167.000	Check,Raise:33.00,Raise:49.50	Raise:33.00	b3300
30	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
30	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
30	3	Flop	Button	21.500	8.500	193.500	Fold,Call,Raise:8.50,Raise:16.00	Raise:16.00	b2850
31	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
31	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
32	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
32	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:9.00	b1800
32	3	Preflop	Button	99.000	63.000	182.000	Fold,Call,Raise:63.00,Raise:74.50	Raise:74.50	b15550
32	4	Preflop	Button	355.500	44.500	44.500	Fold,Call	Call	c
33	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
33	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
33	3	Flop	BigBlind	18.000	6.000	194.000	Fold,Call,Raise:6.00,Raise:13.50	Raise:6.00	b1500
33	4	Flop	BigBlind	126.000	90.000	182.000	Fold,Call,Raise:90.00,Raise:92.00	Raise:90.00	b19500
33	5	Flop	BigBlind	398.000	2.000	2.000	Fold,Call	Call	c
34	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
34	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:9.00	b1800
35	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
35	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Raise:4.50	b450
