hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
4938	Button	2cTs	QdQh	ThTd5c9h7c	20000	200.000	5	8	b250b750b1250c/kb1900c/b3650b11100c/b100b5750c
4939	BigBlind	JcQh	7h8s	7c5s5cKdJh	1200	12.000	4	5	b200b300c/b300c/b600c/b1800f
4940	Button	9h5s	4d4h	Kc4c3d9s7c	-20000	-200.000	5	6	b250b750b1250c/kb1250c/kb3750b17500c/
4941	BigBlind	9c8d	3cQd	Th4s2d	1800	18.000	3	4	b200b300c/b300b1500b2700f
4942	Button	JsKs	3dJh		100	1.000	1	1	b300f
4943	BigBlind	JcKd	5c2s		50	0.500	0	1	f
4944	Button	2sTs	KhJs		750	7.500	2	2	b250b750b1250f
4945	BigBlind	QdQh	6s7s	9s9c4d	3500	35.000	3	4	b200b450b1800b3500c/b5250f
4946	Button	6c2h	Ad6h	QdJc7h	250	2.500	2	3	b250c/kb250f
4947	BigBlind	KdTh	7cKs	KcTd9c5s2s	7250	72.500	4	5	b200b450c/b700c/b1750c/b4350c
