hand	decisionIndex	street	heroPosition	potBeforeBb	toCallBb	stackBb	candidates	chosenAction	apiAction
23	3	Flop	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
24	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
24	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:9.00	b1800
24	3	Flop	Button	36.000	0.000	182.000	Check,Raise:18.00,Raise:27.00	Raise:18.00	b1800
25	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
25	2	Preflop	BigBlind	22.500	13.500	195.500	Fold,Call,Raise:13.50,Raise:17.00	Raise:17.00	b3500
25	3	Flop	BigBlind	70.000	0.000	165.000	Check,Raise:35.00,Raise:52.50	Check	k
25	4	Turn	BigBlind	70.000	0.000	165.000	Check,Raise:35.00,Raise:52.50	Check	k
25	5	River	BigBlind	70.000	0.000	165.000	Check,Raise:35.00,Raise:52.50	Check	k
25	6	River	BigBlind	71.000	1.000	165.000	Fold,Call,Raise:1.00,Raise:53.50	Call	c
26	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
26	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
26	3	Turn	Button	10.000	0.000	195.000	Check,Raise:5.00,Raise:7.50	Raise:7.50	b750
26	4	River	Button	25.000	0.000	187.500	Check,Raise:12.50,Raise:19.00	Check	k
27	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
27	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
27	3	Flop	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
