hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
4135	BigBlind	6dKh	8cQd	Qc9d5c4cTh	-12000	-120.000	5	6	b200b300c/b300c/b600c/b1200b6000b10800c
4136	Button	2c3c	QcJh		750	7.500	2	2	b250b750b1250f
4137	BigBlind	7dAh	Qc4h		200	2.000	1	2	b200b450f
4138	Button	Kc4h	5cQd		100	1.000	1	1	b300f
4139	BigBlind	QcJs	2c9d		50	0.500	0	1	f
4140	Button	QhTs	3h7h		100	1.000	1	1	b300f
4141	BigBlind	2dQs	5s7s	KhJc6s6c	600	6.000	3	4	b200b300c/b300c/b600f
4142	Button	6h8h	Jc7s	9c8d2h8c	650	6.500	3	5	b250c/kb400c/kb1000f
4143	BigBlind	8dTh	3c8c	Qc7d5s	300	3.000	2	3	b200b300c/b300f
4144	Button	3cKh	TsQs	Qc8s3hKd8h	4750	47.500	4	7	b300c/kb450c/kb1150c/kb2850c
4145	BigBlind	4dJh	7dQd	Ks6h5d	300	3.000	2	3	b200b300c/b300f
4146	Button	8cAd	QhKs	KcTs3d3h6h	-4750	-47.500	4	7	b300c/kb450c/kb1150c/kb2850c
4147	BigBlind	4cAh	5h7h	KcTd7c	300	3.000	2	3	b200b300c/b300f
4148	Button	5h7s	9dTh	AcTd3dQh8s	1000	10.000	4	7	b250c/kb250c/kb500c/kb1000f
4149	BigBlind	TdKs	9cTh	Jc5h3c9h6d	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
4150	Button	8cJd	8h7s	KdQd6d	300	3.000	2	3	b300c/kb450f
4151	BigBlind	5cTh	9cTc	Js6d5s	3300	33.000	3	4	b200b300b1800b3300c/b4950f
4152	Button	JdJh	Qc9h	8c5d2h	300	3.000	2	3	b300c/kb450f
4153	BigBlind	7dTd	5d8s		200	2.000	1	2	b200b300f
4154	Button	ThQh	Kc2d		100	1.000	1	1	b300f
4155	BigBlind	KdQh	Kc7s	Jh7h3h7d	-5100	-51.000	5	5	b200b450c/b700b1400b2100c/b2550b17450f
4156	Button	7dQh	Jc6d		100	1.000	1	1	b300f
4157	BigBlind	4h9s	KcTs	As9h4d5d	750	7.500	3	4	b200b300c/b450c/b1150f
4158	Button	2dJd	8s9s	6s6d4cJs	4500	45.000	4	6	b250b750b1250c/b250b500c/b2750b7450f
4159	BigBlind	Ac9s	Ad9h	7d6d2s3c	900	9.000	3	4	b200b450c/b450c/b900f
4160	Button	3cQd	4c3d	AsQh9c	250	2.500	2	3	b250c/kb400f
4161	BigBlind	9c3d	4hAs	Td9s5d	300	3.000	2	3	b200b300c/b450f
4162	Button	7dTs	Qc6s	7h3h3d	250	2.500	2	3	b250c/kb400f
4163	BigBlind	KdJh	8h3s		50	0.500	0	1	f
4164	Button	TcTs	7h4s		100	1.000	1	1	b300f
4165	BigBlind	Kc3s	3c8d		50	0.500	0	1	f
4166	Button	KhTs	3d9s		100	1.000	1	1	b300f
4167	BigBlind	9cQd	5cQc	Tc9s5sTh	3700	37.000	4	5	b200b300c/b450b1500b3400c/b5550f
4168	Button	3c3d	2hQs		100	1.000	1	1	b300f
4169	BigBlind	4h7s	JdTh	AcJs3h9s3d	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
4170	Button	Td9h	3d8d		100	1.000	1	1	b300f
4171	BigBlind	8dQs	4c7d		50	0.500	0	1	f
4172	Button	3h5h	2h4h	AsKc2c3c	500	5.000	3	5	b250c/kb250c/kb750f
4173	BigBlind	TcTs	5d4s	AhQh3h	450	4.500	2	3	b200b450c/b450f
4174	Button	6d9s	3h4s	7d3c2h2d	500	5.000	3	5	b250c/kb250c/kb500f
4175	BigBlind	Kc9h	2c2h	7d6c4c	300	3.000	2	3	b200b300c/b300f
4176	Button	8cQs	9c3s		100	1.000	1	1	b300f
4177	BigBlind	TcJc	8c4d	AdKh8s	300	3.000	2	3	b200b300c/b300f
4178	Button	Th4s	2s5s	8s8h4h	1250	12.500	3	4	b250b750b1250c/kb1900f
