rank	key	hero	villain	heroClass	villainClass	win	tie	loss	equity	stderr
177	101377	2c3c	TcAd	32s	ATo	0.365906988479	0.005747227128	0.628345784393	0.368780602043	0.000000000000
178	101380	2c3c	AcTd	32s	ATo	0.366484572833	0.005673642064	0.627841785104	0.369321393865	0.000000000000
179	104705	2c3c	JcJd	32s	JJ	0.177153706351	0.008508419066	0.814337874583	0.181407915884	0.000000000000
180	104960	2c3c	JcQc	32s	QJs	0.316362631869	0.011808650800	0.671828717331	0.322266957269	0.000000000000
181	104961	2c3c	JcQd	32s	QJo	0.358996416524	0.010895261589	0.630108321887	0.364444047319	0.000000000000
182	104964	2c3c	QcJd	32s	QJo	0.358996416524	0.010968846653	0.630034736822	0.364480839851	0.000000000000
183	105216	2c3c	JcKc	32s	KJs	0.321219246115	0.009235509582	0.669545244302	0.325837000906	0.000000000000
184	105217	2c3c	JcKd	32s	KJo	0.363772437605	0.008363000962	0.627864561433	0.367953938086	0.000000000000
185	105220	2c3c	KcJd	32s	KJo	0.363767181529	0.008380521216	0.627852297256	0.367957442136	0.000000000000
186	105472	2c3c	JcAc	32s	AJs	0.324222217550	0.006671128491	0.669106653959	0.327557781796	0.000000000000
187	105473	2c3c	JcAd	32s	AJo	0.366612470683	0.005850596623	0.627536932694	0.369537768994	0.000000000000
188	105476	2c3c	AcJd	32s	AJo	0.367200567189	0.005801539913	0.626997892898	0.370101337146	0.000000000000
189	109057	2c3c	QcQd	32s	QQ	0.175892248105	0.006556662836	0.817551089059	0.179170579523	0.000000000000
190	109312	2c3c	QcKc	32s	KQs	0.322004153468	0.009339463086	0.668656383446	0.326673885011	0.000000000000
191	109313	2c3c	QcKd	32s	KQo	0.364540992721	0.008466370458	0.626992636821	0.368774177950	0.000000000000
192	109316	2c3c	KcQd	32s	KQo	0.364540992721	0.008508419066	0.626950588213	0.368795202254	0.000000000000
193	109568	2c3c	QcAc	32s	AQs	0.325007124903	0.006775081995	0.668217793102	0.328394665900	0.000000000000
194	109569	2c3c	QcAd	32s	AQo	0.367381025799	0.005953966118	0.626665008083	0.370358008858	0.000000000000
195	109572	2c3c	AcQd	32s	AQo	0.367974378381	0.005929437763	0.626096183855	0.370939097263	0.000000000000
196	113409	2c3c	KcKd	32s	KK	0.175261518983	0.005393318009	0.819345163008	0.177958177987	0.000000000000
197	113664	2c3c	KcAc	32s	AKs	0.325855105168	0.006879035498	0.667265859333	0.329294622917	0.000000000000
198	113665	2c3c	KcAd	32s	AKo	0.368212653828	0.006057335613	0.625730010559	0.371241321634	0.000000000000
199	113668	2c3c	AcKd	32s	AKo	0.368806006410	0.006057335613	0.625136657977	0.371834674217	0.000000000000
200	117761	2c3c	AcAd	32s	AA	0.161058433549	0.005334917164	0.833606649287	0.163725892131	0.000000000000
