key	win	tie	loss	stderr
2587152	0.214422789411	0.047840219961	0.737736990628	0.000000000000
2525979	0.332471336865	0.006502350050	0.661026313085	0.000000000000
727835	0.230989357030	0.476488403928	0.292522239042	0.000000000000
2718235	0.341244311758	0.009644899504	0.649110788738	0.000000000000
207120	0.358464384829	0.015542216803	0.625993398369	0.000000000000
478214	0.401047360749	0.004441968249	0.594510671002	0.000000000000
2644498	0.358765149179	0.010168171072	0.631066679748	0.000000000000
2701846	0.359009848718	0.010639465889	0.630350685392	0.000000000000
5876760	0.329164681038	0.004110835459	0.666724483503	0.000000000000
535058	0.354995958662	0.010869565217	0.634134476121	0.000000000000
88320	0.319265737860	0.016085344658	0.664648917482	0.000000000000
3884314	0.523541380503	0.006882539549	0.469576079948	0.000000000000
2784000	0.336332800718	0.008794583205	0.654872616078	0.000000000000
5028635	0.283651734739	0.002936394472	0.713411870789	0.000000000000
1779712	0.602308935796	0.009069651183	0.388621413020	0.000000000000
567830	0.115497014549	0.005932941814	0.878570043637	0.000000000000
3456016	0.358488329175	0.005132850242	0.636378820583	0.000000000000
367108	0.337458184995	0.010570552892	0.651971262112	0.000000000000
1129499	0.531169698839	0.005347765350	0.463482535811	0.000000000000
5024534	0.576053668040	0.004235229258	0.419711102701	0.000000000000
1656068	0.565558452237	0.014736869154	0.419704678608	0.000000000000
1387542	0.362897592951	0.005304548725	0.631797858324	0.000000000000
201734	0.397062671114	0.123325063774	0.479612265112	0.000000000000
1647621	0.551448224147	0.014247470075	0.434304305777	0.000000000000
2701082	0.539460866762	0.014072851550	0.446466281688	0.000000000000
1328902	0.289883104869	0.103460016446	0.606656878685	0.000000000000
465176	0.355351035797	0.015264228782	0.629384735421	0.000000000000
3897861	0.558611671759	0.007443771667	0.433944556574	0.000000000000
1591573	0.341326656949	0.015044057597	0.643629285454	0.000000000000
1124114	0.528583709435	0.009557298237	0.461858992328	0.000000000000
3386394	0.499257725264	0.004242821368	0.496499453368	0.000000000000
3517467	0.363118932152	0.003623188406	0.633257879442	0.000000000000
8031002	0.333721698951	0.006829978789	0.659448322261	0.000000000000
157723	0.334588367486	0.020414015268	0.644997617246	0.000000000000
411930	0.334362356217	0.014305286912	0.651332356871	0.000000000000
4561158	0.223330086246	0.006424092918	0.770245820836	0.000000000000
207126	0.379216540988	0.015903718031	0.604879740981	0.000000000000
3438854	0.398339313580	0.013248815631	0.588411870789	0.000000000000
1389330	0.285288710416	0.014637587718	0.700073701866	0.000000000000
26129	0.171501088592	0.005727954849	0.822770956559	0.000000000000
3701521	0.344591264168	0.008050556443	0.647358179389	0.000000000000
3635226	0.206577803941	0.073707706108	0.719714489950	0.000000000000
406545	0.505140442351	0.052269340024	0.442590217625	0.000000000000
1403160	0.317082130276	0.014496841682	0.668421028042	0.000000000000
206104	0.350554574421	0.082853862398	0.566591563180	0.000000000000
1616645	0.333811636252	0.007565245424	0.658623118325	0.000000000000
84486	0.383130565601	0.010515072090	0.606354362309	0.000000000000
403226	0.333487511563	0.031347821415	0.635164667022	0.000000000000
2638849	0.335883114213	0.011517230585	0.652599655201	0.000000000000
1526040	0.354404942113	0.014467057252	0.631128000635	0.000000000000
595206	0.596856048926	0.014698908605	0.388445042469	0.000000000000
5864209	0.350851834721	0.007648174623	0.641499990656	0.000000000000
1325592	0.370090824994	0.010795980153	0.619113194853	0.000000000000
2853381	0.541722147469	0.007397634999	0.450880217531	0.000000000000
3953938	0.318371036919	0.004095651239	0.677533311842	0.000000000000
4544539	0.266892444332	0.078382109719	0.654725445949	0.000000000000
