hand	decisionIndex	street	heroPosition	potBeforeBb	toCallBb	stackBb	candidates	chosenAction	apiAction
23	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
23	3	Turn	BigBlind	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Check	k
23	4	Turn	BigBlind	24.000	12.000	194.000	Fold,Call,Raise:12.00,Raise:18.00	Raise:12.00	b2400
23	5	River	BigBlind	60.000	0.000	170.000	Check,Raise:30.00,Raise:45.00	Check	k
24	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
24	2	Preflop	Button	10.000	5.000	197.500	Fold,Call,Raise:5.00,Raise:7.50	Raise:5.00	b1250
24	3	Flop	Button	25.000	0.000	187.500	Check,Raise:12.50,Raise:19.00	Check	k
24	4	Turn	Button	25.000	0.000	187.500	Check,Raise:12.50,Raise:19.00	Check	k
24	5	River	Button	27.500	2.500	187.500	Fold,Call,Raise:2.50,Raise:20.50	Raise:2.50	b500
26	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
26	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
26	3	Turn	Button	15.000	5.000	195.000	Fold,Call,Raise:5.00,Raise:11.50	Raise:5.00	b1000
26	4	River	Button	30.000	0.000	185.000	Check,Raise:15.00,Raise:22.50	Check	k
27	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
27	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
27	3	Flop	BigBlind	7.000	1.000	197.000	Fold,Call,Raise:1.00,Raise:5.50	Raise:1.00	b200
27	4	Turn	BigBlind	10.000	0.000	195.000	Check,Raise:5.00,Raise:7.50	Check	k
27	5	River	BigBlind	10.000	0.000	195.000	Check,Raise:5.00,Raise:7.50	Check	k
27	6	River	BigBlind	13.000	3.000	195.000	Fold,Call,Raise:3.00,Raise:10.00	Raise:3.00	b600
28	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
28	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
29	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
29	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
29	3	Turn	BigBlind	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:7.50	b750
29	4	River	BigBlind	30.000	0.000	185.000	Check,Raise:15.00,Raise:22.50	Check	k
29	5	River	BigBlind	69.000	39.000	185.000	Fold,Call,Raise:39.00,Raise:52.00	Raise:39.00	b7800
30	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Call	c
30	2	Preflop	Button	4.000	2.000	199.000	Fold,Call,Raise:2.00,Raise:3.00	Raise:2.00	b500
30	3	Flop	Button	10.000	0.000	195.000	Check,Raise:5.00,Raise:7.50	Check	k
30	4	Turn	Button	23.000	13.000	195.000	Fold,Call,Raise:13.00,Raise:17.50	Raise:13.00	b2600
30	5	Turn	Button	139.000	77.000	169.000	Fold,Call,Raise:77.00,Raise:92.00	Raise:77.00	b18000
30	6	River	Button	385.000	15.000	15.000	Fold,Call	Call	c
32	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
32	2	Flop	Button	7.500	2.500	197.500	Fold,Call,Raise:2.50,Raise:5.50	Raise:2.50	b500
32	3	Turn	Button	22.500	7.500	192.500	Fold,Call,Raise:7.50,Raise:17.00	Raise:7.50	b1500
34	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Call	c
34	2	Flop	Button	2.000	0.000	199.000	Check,Raise:1.00,Raise:1.50	Raise:1.50	b150
34	3	Turn	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
35	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
36	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
36	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
37	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
38	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Call	c
38	2	Flop	Button	2.000	0.000	199.000	Check,Raise:1.00,Raise:1.50	Check	k
38	3	Turn	Button	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b200
38	4	River	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
40	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
40	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:6.00	b1500
40	3	Flop	Button	30.000	0.000	185.000	Check,Raise:15.00,Raise:22.50	Check	k
40	4	Turn	Button	33.000	3.000	185.000	Fold,Call,Raise:3.00,Raise:25.00	Raise:3.00	b600
40	5	Turn	Button	129.000	87.000	179.000	Fold,Call,Raise:87.00,Raise:92.00	Raise:87.00	b18000
40	6	Turn	Button	395.000	5.000	5.000	Fold,Call	Call	c
41	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
42	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
42	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
42	3	Turn	Button	9.000	3.000	197.000	Fold,Call,Raise:3.00,Raise:7.00	Raise:3.00	b600
42	4	River	Button	18.000	0.000	191.000	Check,Raise:9.00,Raise:13.50	Check	k
43	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
43	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
44	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
44	2	Preflop	Button	10.000	5.000	197.500	Fold,Call,Raise:5.00,Raise:7.50	Raise:5.00	b1250
44	3	Flop	Button	25.000	0.000	187.500	Check,Raise:12.50,Raise:19.00	Raise:19.00	b1900
45	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
45	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
45	3	Turn	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
45	4	River	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
46	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Call	c
46	2	Flop	Button	2.000	0.000	199.000	Check,Raise:1.00,Raise:1.50	Raise:1.50	b150
46	3	Turn	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
46	4	River	Button	13.000	0.000	193.500	Check,Raise:6.50,Raise:10.00	Raise:10.00	b1000
47	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
47	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
